publish_on,release_date,video,cover,artist,name,label,review,related,fcc_notes,slug,artist_slug
2018-05-24,2018-05-15,youtube:lRYpJydaeYY,hawk.jpeg,Hawk,Bomb Pop,New Garden,Solid power-pop outing with an all-star cast… a must for fans of the Yellow Pills series.,"Material Issue, The Posies, The Kinks",Clean,hawk-bomb-pop,hawk
2018-05-26,2018-03-01,youtube:FSpzsO1RDTM,goat_girl.jpeg,Goat Girl,Goat Girl,Rough Trade,"Guitar-centered rock with moody female vocals, with a harder edge and good dynamics.","Pinback, Throwing Muses, Elastica",#2,goat-girl,goat-girl
2018-05-28,2018-04-06,youtube:zMINv5ggLww,rainbow_kitten_surprise.jpeg,Rainbow Kitten Surprise,"How To: Friend, Love, Freefal",Elektra,"Heady mix of folk, electronic and hip hop elements swirling together into something unique and accessible.","Modest Mouse, Django Django, My Morning Jacket, Vampire Weekend","#2, #4, #5, #6, #7, #11",rainbow-kitten-surprise-how-to-friend-love-freefal,rainbow-kitten-surprise
2018-05-30,2018-04-27,youtube:3cmHsBA0WLA,dr_dog.jpg,Dr. Dog,Critical Equation,We Buy Gold,"The band returns with more of their particular brand of folksy psychedelia. Lots of great hooks and harmonies, as usual.","Born Ruffians, My Morning Jacket, ELO",Clean,dr-dog-critical-equation,dr-dog
2018-06-01,2018-04-06,youtube:8p3CyHVzHZQ,dr_octagon.jpg,Dr. Octagon,Moosebumps,Bulk Recordings,"Twenty years later, Dr. Octagon still sounds like the future of intelligent-slash-weird hip-hop","Kool Keith, Gorillaz, Handsome Boy Modeling School","#5, #10",dr-octagon-moosebumps,dr-octagon
2018-06-03,2018-04-20,youtube:SN80WTyizEI,post_animal.jpg,Post Animal,When I Think Of You In A Castle,Polyvinyl,"Seriously kinetic, full of unexpected musical twists and turns, and at the same time prone to laying down an excellent drone beat.","Thee Oh Sees, Artichoke, King Gizzard and the Lizard Wizard",#8,post-animal-when-i-think-of-you-in-a-castle,post-animal
2018-06-05,2018-04-27,youtube:RNzGH02i8wY,speedy_ortiz.jpg,Speedy Ortiz,Twerp Verse,Carpark,"A powerful set of guitar pop songs, fronted by sometimes disaffected indie female vocals.","The Rentals, Veruca Salt, Liz Phair",Clean,speedy-ortiz-twerp-verse,speedy-ortiz
2018-06-06,2018-05-11,youtube:M0vMIQLXxqQ,beach_house.jpg,Beach House,7,Sub Pop,Washes of sound surround you as half-heard vocals intertwine with half-remembered melodies.,"Cocteau Twins, Lush, Stereolab",Clean,beach-house-7,beach-house
2018-06-07,2018-05-04,youtube:XI-Vr6gKbwk,black_moth_super_rainbow.jpg,Black Moth Super Rainbow,Panic Blooms,Rad Cult,Is it experimental psychedelia or is it the soundtrack to a fragmented dream? It is not necessary to decide.,"Animal Collective, Half-Handed Cloud, The Flaming Lips","#3, #5, #6, #14, #15",black-moth-super-rainbow-panic-blooms,black-moth-super-rainbow
2018-06-09,2018-04-27,youtube:X53IkGOQs0A,forth_wanderers.jpg,Forth Wanderers,Forth Wanderers,Sub Pop,"Wildly dynamic swings of mood from this rock-format combo, filled with sweet chiming vocal harmonies set against dissonance and rhythm.","Breeders, Throwing Muses, Toenut, Deerhoof",Clean,forth-wanderers,forth-wanderers
2018-06-12,2018-04-13,youtube:AVHMYQJBUs0,king_tuff.jpg,King Tuff,The Other,Sub Pop,"King Tuff clearly has a rock and roll heart, with the sort of grandiose expression that has a southern blues charm.","Led Zeppelin, Black Crowes, Billy Squier",Clean (should confirm with SP),king-tuff-the-other,king-tuff
2018-06-15,2018-05-11,youtube:oETEFW1g-hs,la_luz.jpg,La Luz,Floating Features,Hardly Art,"La Luz takes everything that’s great about surf rock and dreamy girl vocals, gives it a new coat of paint, fills it with high-octane, and dares you to keep up.","Link Wray, Shadowy Men on a Shadowy Planet, Insect Surfers",Clean,la-luz-floating-features,la-luz
2018-06-19,2018-05-25,youtube:i2i85Ir3FrY,ruler.jpg,Ruler,Winning Star Champion,Barsuk,"A brilliant collection of indie pop gems, featuring the sounds and hooks that made “alternative music” so great in the first place.","Death Cab for Cutie, Hoodoo Gurus, Nirvana, Robyn Hitchcock",#2,ruler-winning-star-champion,ruler
2018-06-20,2018-04-20,youtube:7jaGtrn9Qgw,ty_richards.png,Ty Richards,Welcome to Flat Earth,Tremolo,"Another one-man rock act that wears its influences on its sleeve, but it’s well done so don’t take that as a complaint. Highly political.","Ty Segall, T. Rex, Brian Jonestown Massacre, King Tuff",#2,ty-richards-welcome-to-flat-earth,ty-richards
2018-06-25,2018-05-25,youtube:03HZ0d0VBnk,jo_passed.jpg,Jo Passed,Their Prime,Sub Pop,Somewhere beyond easy genres is this woozy mix of indie soul and post-rock complication.,"Deerhoof, Nirvana, Sonic Youth, Thingy",Clean,jo-passed-their-prime,jo-passed
2018-07-02,2018-05-04,youtube:dIPxzoLIXRc,cleveland_steamers.jpg,The Cleveland Steamers,Best Record Ever,Smog Veil,"Hard-rocking, beer-chugging, smoke-breaking anthems from this Cleveland couple. They can also veer into weird and spooky.","Spinal Tap, The Horrors, The Raveonnettes, Julee Cruise",#9 …,the-cleveland-steamers-best-record-ever,cleveland-steamers
2018-07-04,2018-06-08,youtube:WfEKMgScz4s,calpurnia.jpg,Calpurnia,Scout EP,Royal Mountain,Some very young Canadians show plenty of promos with this pleasantly bratty set of indie guitar rock.,"Half Japanese, Dr. Dog, Mooney Suzuki, Spice Boys",Clean,calpurnia-scout-ep,calpurnia
2018-07-06,2018-06-08,youtube:-d91Qn8QUks,snail_mail.jpg,Snail Mail,Lush,Matador,"Bold effort from this young musician, this set of introspective songs shows great skill and promise.","The Sundays, Lush, Liz Phair, Madder Rose",Clean,snail-mail-lush,snail-mail
2018-07-08,2018-06-29,youtube:KUQIFaYAUhE,essex_green.jpg,The Essex Green,Hardly Electronic,Merge,"Hooks as sharp as diamonds, girl/boy vocal harmonies, jangling guitars… what else do you need to play this summer?","Apples In Stereo, Belle and Sebastian, Push Kings, Dressy Bessy",Clean,the-essex-green-hardly-electronic,essex-green
2018-07-10,2018-06-29,youtube:rWyiJtqnZlk,rockateens.jpg,Rock*a*Teens,Sixth House,Merge,"This southern gothic staple returns, with a bit less reverb but just as much agony and attitude.","My Morning Jacket, Wilco, Archers of Loaf",Clean,rock-a-teens-sixth-house,rock-a-teens
2018-07-12,2018-06-15,youtube:e5daIu9-OG0,johnny_mar.jpg,Johnny Marr,Call The Comet,Sire,"Johnny Marr, who provided his distinctive liquid guitar sound to the Smiths and many others, returns with a solo album that shows not much has changed.","Modest Mouse, The Smiths, Jesus + Mary Chain",Clean,johnny-marr-call-the-comet,johnny-marr
2018-07-14,2018-04-27,youtube:I8iYTbp4idI,grimskunk.jpg,Grimskunk,Unreason In the Age of Madness,Indica,"Aggressive metal-reggae-funk, which is not something I generally like, but this one has some sort of undermined charm to it.","Faith No More, Sublime, Anthrax, Fishbone","#3, #4, #8",grimskunk-unreason-in-the-age-of-madness,grimskunk
2018-07-16,2018-05-25,youtube:Rc8QRI6lXb8,mystery_of_bulgarian_voices.jpg,The Mystery of the Bulgarian Voices,BooCheeMish,Prophecy,"A sound you could classify as ethereal, alien, or both. Ancient gregorian harmonies collide with Middle Eastern time signatures for something truly unique. Features DCD’s Lisa Gerrard","Enigma, Dead Can Dance, creepy film soundtracks",Clean,the-mystery-of-the-bulgarian-voices-boocheemish,mystery-of-bulgarian-voices
2018-07-19,2018-05-18,youtube:tyLq5s3UTi4,buck_meek.jpeg,Buck Meek,Buck Meek,Tiger Bomb,"If you think a song about car repairs can’t touch your heart, you’ve never heard Buck Meek. A unique voice and an easy country rock feel.","Drink Me, Son Volt, Sonny Smith",Clean,buck-meek,buck-meek
2018-07-22,2018-06-29,youtube:lgmw41CY1Fo,red_baraat.jpg,Red Baraat,Sound The People,Rhyme + Reason,"A beat-heavy collection of international sounds, this band is literally all over the place in a boundary-pushing mix of afrobeat, bhangra, hip-hop, jazz and other genres.","Balkan Beat Box, Asian Dub Foundation, Antibalas",#5,red-baraat-sound-the-people,red-baraat
2018-08-30,2018-07-20,youtube:d-Xgyov4ttk,benni.jpg,Bênní,The Return,Goner,Cinematic expressions of synthesis collide and swirl for an introspective instrumental journey. Analog reigns supreme to bring an auditory vision of a future from the past.,"Quarterhawk, Tangerine Dream, Maserati, Com Truise",Clean,benni-the-return,benni
2018-09-03,2018-05-04,youtube:rMXmnR3nSOI,creation_factory.jpg,The Creation Factory,The Creation Factory,Lolipop,"A pitch perfect replica of what made the British Invasion so formidable. Face-melting fuzz, underwater cathedral organs, warbling vocal harmonies, and so much more.","The Rolling Stones, The Brian Jonestown Massacre, The Jessica Fletchers",Clean,the-creation-factory,creation-factory
2018-09-06,2018-06-22,youtube:n8uWfxhdaek,gang_gang_dance.jpg,Gang Gang Dance,Kazuashita,4AD,"An intense mix of international flavors and electronic treatments, this album is an exotic transcendental journey across imaginary foreign lands.","Cocteau Twins, Beats Antique, Medicine Drum, Slowdive",Clean,gang-gang-dance-kazuashita,gang-gang-dance
2018-09-09,2018-08-03,youtube:ftbWYFbNF00,purrs.jpg,The Purrs,Destroy The Sun,Swoon,"Driving indie guitar rock with extra-strength riffs and detailed dynamics, great harmonies, and memorable hooks.","Pavement, Superchunk, The Vaccines",Clean,the-purrs-destroy-the-sun,purrs
2018-09-14,2018-06-29,youtube:5RtMam-4pdg,rubens.jpg,The Rubens,Lo La Ru,Ivy League,"Fantastic Aussie rock-pop with a lot of variety, each song having its own strange melodic structure and personality. ","Cage The Elephant, Jellyfish, Born Ruffians","#4, #5, #6, #10",the-rubens-lo-la-ru,rubens
2018-09-13,2018-08-03,youtube:JXCbALsrWYU,shy_boys.jpg,Shy Boys,Bell House,Polyvinyl,"Very understated, yet completely engaging. Shy Boys live up to their name with this collection of softly-strummed, gently-tapped, whisper-harmonized indie basement gems.","Stephen Malkmus, Real Estate, Yo La Tengo",Clean,shy-boys-bell-house,shy-boys
2018-09-16,2018-08-03,youtube:YTW5EIctMKs,spider_bags.jpg,Spider Bags,Someday Everything Will Be Fine,Merge,"Fast-forward punk, with the sort of edge that comes from the current DIY movement, and an unknown spice that makes the songs stand out from your standard barrage of fuzzed out chords and beats.","Social Distortion, Parquet Courts, The Oblivians, Bad Brains","#1, #6",spider-bags-someday-everything-will-be-fine,spider-bags
2018-09-08,2018-07-27,youtube:4OGHkcemxks,thin_lips.jpg,Thin Lips,Chosen Family,Lame-O,"Rock anthems filled with quirky bits of beat and string, layered with some honey-toned vocals and surging guitars.","Speedy Ortiz, Courtney Barnett, Liz Phair","#5, #10",thin-lips-chosen-family,thin-lips
2018-09-11,2018-07-20,youtube:uU2aD2zuMX8,wild_pink.jpg,Wild Pink,Yolk In The Fur,Tiny Engines,"Alternative rock with a tinge of Americana, the perfect thing to eat up miles and miles of road trip.","Echo and the Bunnymen, Stornoway, War on Drugs",#8,wild-pink-yolk-in-the-fur,wild-pink
2018-09-01,2018-06-07,youtube:m396IpgjdiI,jamie_younkin.jpg,Jamie Younkin,Did It Anyway,,Trumpeter Jamie Younkin mixes standards and her own compositions in this smoky set of songs that feature languid vocals and finessed horn playing.,"Chet Baker, Chris Botti, Diana Krall",Clean,jamie-younkin-did-it-anyway,jamie-younkin
